,GameId,HomeTeamAbbr,VisitorTeamAbbr,Week
63,2017100500,TB,NE,5
64,2017100800,CIN,BUF,5
65,2017100801,CLE,NYJ,5
66,2017100802,DET,CAR,5
67,2017100803,IND,SF,5
68,2017100804,MIA,TEN,5
69,2017100805,NYG,LAC,5
70,2017100806,PHI,ARI,5
71,2017100807,PIT,JAX,5
72,2017100808,LA,SEA,5
73,2017100809,OAK,BAL,5
74,2017100810,DAL,GB,5
75,2017100811,HOU,KC,5
76,2017100900,CHI,MIN,5
77,2017101200,CAR,PHI,6
78,2017101500,ATL,MIA,6
79,2017101501,BAL,CHI,6
80,2017101502,HOU,CLE,6
81,2017101503,MIN,GB,6
82,2017101504,NO,DET,6
83,2017101505,NYJ,NE,6
84,2017101506,WAS,SF,6
85,2017101507,ARI,TB,6
86,2017101508,JAX,LA,6
87,2017101509,KC,PIT,6
88,2017101510,OAK,LAC,6
89,2017101511,DEN,NYG,6
90,2017101600,TEN,IND,6
91,2017101900,OAK,KC,7
92,2017102200,BUF,TB,7
93,2017102201,CHI,CAR,7
94,2017102202,CLE,TEN,7
95,2017102203,GB,NO,7
96,2017102204,IND,JAX,7
97,2017102205,LA,ARI,7
98,2017102206,MIA,NYJ,7
99,2017102207,MIN,BAL,7
100,2017102208,PIT,CIN,7
101,2017102209,SF,DAL,7
102,2017102210,LAC,DEN,7
103,2017102211,NYG,SEA,7
104,2017102212,NE,ATL,7
105,2017102300,PHI,WAS,7
106,2017102600,BAL,MIA,8
107,2017102900,CLE,MIN,8
108,2017102901,BUF,OAK,8
109,2017102902,CIN,IND,8
110,2017102903,NE,LAC,8
111,2017102904,NO,CHI,8
112,2017102905,NYJ,ATL,8
113,2017102906,PHI,SF,8
114,2017102907,TB,CAR,8
115,2017102908,SEA,HOU,8
116,2017102909,WAS,DAL,8
117,2017102910,DET,PIT,8
118,2017103000,KC,DEN,8
119,2017110200,NYJ,BUF,9
120,2017110500,CAR,ATL,9
121,2017110501,HOU,IND,9
122,2017110502,JAX,CIN,9
123,2017110503,NO,TB,9
124,2017110504,NYG,LA,9
125,2017110505,PHI,DEN,9
126,2017110506,TEN,BAL,9
127,2017110507,SF,ARI,9
128,2017110508,SEA,WAS,9
129,2017110509,DAL,KC,9
130,2017110510,MIA,OAK,9
131,2017110600,GB,DET,9
132,2017110900,ARI,SEA,10
133,2017111200,BUF,NO,10
134,2017111201,CHI,GB,10
135,2017111202,DET,CLE,10
136,2017111203,IND,PIT,10
137,2017111204,JAX,LAC,10
138,2017111205,TB,NYJ,10
139,2017111206,TEN,CIN,10
140,2017111207,WAS,MIN,10
141,2017111208,LA,HOU,10
142,2017111209,ATL,DAL,10
143,2017111210,SF,NYG,10
144,2017111211,DEN,NE,10
145,2017111300,CAR,MIA,10
146,2017111600,PIT,TEN,11
147,2017111900,CHI,DET,11
148,2017111901,CLE,JAX,11
149,2017111902,GB,BAL,11
150,2017111903,HOU,ARI,11
151,2017111904,MIN,LA,11
152,2017111905,NO,WAS,11
153,2017111906,NYG,KC,11
154,2017111907,LAC,BUF,11
155,2017111908,DEN,CIN,11
156,2017111909,OAK,NE,11
157,2017111910,DAL,PHI,11
158,2017111911,MIA,TB,11
159,2017112000,SEA,ATL,11
160,2017112300,DET,MIN,12
161,2017112301,DAL,LAC,12
162,2017112302,WAS,NYG,12
163,2017112600,ATL,TB,12
164,2017112601,CIN,CLE,12
165,2017112602,IND,TEN,12
166,2017112603,KC,BUF,12
167,2017112604,NE,MIA,12
168,2017112605,NYJ,CAR,12
169,2017112606,PHI,CHI,12
170,2017112607,LA,NO,12
171,2017112608,SF,SEA,12
172,2017112609,ARI,JAX,12
173,2017112610,OAK,DEN,12
174,2017112611,PIT,GB,12
175,2017112700,BAL,HOU,12
176,2017113000,DAL,WAS,13
177,2017120300,ATL,MIN,13
178,2017120301,BAL,DET,13
179,2017120302,BUF,NE,13
180,2017120303,CHI,SF,13
181,2017120304,GB,TB,13
182,2017120305,JAX,IND,13
183,2017120306,MIA,DEN,13
184,2017120307,NO,CAR,13
185,2017120308,NYJ,KC,13
186,2017120309,TEN,HOU,13
187,2017120310,LAC,CLE,13
188,2017120311,ARI,LA,13
189,2017120312,OAK,NYG,13
190,2017120313,SEA,PHI,13
191,2017120400,CIN,PIT,13
192,2017120700,ATL,NO,14
193,2017121000,BUF,IND,14
194,2017121001,CAR,MIN,14
195,2017121002,CIN,CHI,14
196,2017121003,CLE,GB,14
197,2017121004,HOU,SF,14
198,2017121005,JAX,SEA,14
199,2017121006,KC,OAK,14
200,2017121007,TB,DET,14
201,2017121008,ARI,TEN,14
202,2017121009,DEN,NYJ,14
203,2017121010,LAC,WAS,14
204,2017121011,LA,PHI,14
205,2017121012,NYG,DAL,14
206,2017121013,PIT,BAL,14
207,2017121100,MIA,NE,14
208,2017121400,IND,DEN,15
209,2017121600,DET,CHI,15
210,2017121601,KC,LAC,15
211,2017121700,BUF,MIA,15
212,2017121701,CAR,GB,15
213,2017121702,CLE,BAL,15
214,2017121703,JAX,HOU,15
215,2017121704,MIN,CIN,15
216,2017121705,NO,NYJ,15
217,2017121706,NYG,PHI,15
218,2017121707,WAS,ARI,15
219,2017121708,SEA,LA,15
220,2017121709,PIT,NE,15
221,2017121710,SF,TEN,15
222,2017121711,OAK,DAL,15
223,2017121800,TB,ATL,15
224,2017122300,BAL,IND,16
225,2017122301,GB,MIN,16
226,2017122400,CAR,TB,16
227,2017122401,CHI,CLE,16
228,2017122402,CIN,DET,16
229,2017122403,KC,MIA,16
230,2017122404,NE,BUF,16
231,2017122405,NO,ATL,16
232,2017122406,NYJ,LAC,16
233,2017122407,TEN,LA,16
234,2017122408,WAS,DEN,16
235,2017122409,SF,JAX,16
236,2017122410,ARI,NYG,16
237,2017122411,DAL,SEA,16
238,2017122500,HOU,PIT,16
239,2017122501,PHI,OAK,16
240,2017123100,ATL,CAR,17
241,2017123101,BAL,CIN,17
242,2017123102,DET,GB,17
243,2017123103,IND,HOU,17
244,2017123104,MIA,BUF,17
245,2017123105,MIN,CHI,17
246,2017123106,NE,NYJ,17
247,2017123107,NYG,WAS,17
248,2017123108,PHI,DAL,17
249,2017123109,PIT,CLE,17
250,2017123110,TB,NO,17
251,2017123111,TEN,JAX,17
252,2017123112,DEN,KC,17
253,2017123113,LAC,OAK,17
254,2017123114,LA,SF,17
255,2017123115,SEA,ARI,17
